Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Encounter Date,Date,N/A,date/time,Yes,no,encounterDate,,,
Encounter Location,Location,List of available locations,location select,Yes,no,,,,
Admission date/time,Date,N/A,date,No,no,PIH:12240,,,
Diagnoses (encounterDiagnosesByObs),Other,Pick diagnoses,diagnoses widget,No,no,,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Procedures,Coded,N/A,autocomplete,No,no,PIH:Surgical procedure,,,
Type of anesthesia,Coded,N/A,radio,No,no,PIH:Type of anesthesia,,,
Subform: vital-signs-basic-widget.xml,Other,Subform — configuration/pih/subforms/vital-signs-basic-widget.xml,subform,No,no,,,,
CIEL:170339,Coded,CIEL:170336 | CIEL:170337 | CIEL:170338,radio,No,no,CIEL:170339,CIEL:170336|CIEL:170337|CIEL:170338,,
CIEL:170343,Coded,CIEL:170340 | CIEL:170341 | CIEL:170342,radio,No,no,CIEL:170343,CIEL:170340|CIEL:170341|CIEL:170342,,
CIEL:170347,Coded,CIEL:170344 | CIEL:170345 | CIEL:170346,radio,No,no,CIEL:170347,CIEL:170344|CIEL:170345|CIEL:170346,,
CIEL:162643,Coded,CIEL:160282 | CIEL:162645 | CIEL:159508,radio,No,no,CIEL:162643,CIEL:160282|CIEL:162645|CIEL:159508,,
CIEL:170351,Coded,CIEL:170348 | CIEL:170349 | CIEL:170350,radio,No,no,CIEL:170351,CIEL:170348|CIEL:170349|CIEL:170350,,
Pain score,Coded,CIEL:1107 | CIEL:1498 | CIEL:1499 | CIEL:1500,radio,No,no,CIEL:169568,CIEL:1107|CIEL:1498|CIEL:1499|CIEL:1500,,
Nausea score,Coded,CIEL:1107 | CIEL:1498 | CIEL:1499 | CIEL:1500,radio,No,no,CIEL:170353,CIEL:1107|CIEL:1498|CIEL:1499|CIEL:1500,,
{q Name},Coded,Yes | No,radio,No,no,CIEL:122983,CIEL:1065|CIEL:1066,,
{q Name},Coded,Yes | No,radio,No,no,PIH:21078,CIEL:1065|CIEL:1066,,
{q Name},Coded,Yes | No,radio,No,no,CIEL:170354,CIEL:1065|CIEL:1066,,
{q Name},Coded,Yes | No,radio,No,no,CIEL:170355,CIEL:1065|CIEL:1066,,
{q Name},Coded,Yes | No,radio,No,no,CIEL:170483,CIEL:1065|CIEL:1066,,
Vitals gcs,Coded,N/A,radio,No,no,CIEL:160347,,,
Blood transfusion,Coded,N/A,radio,No,no,CIEL:166650,,Blood transfusion,PIH:Transfusion construct
Urgency,Coded,Routine | Urgent | Emergency Release,radio,No,no,CIEL:161238,CIEL:161236|CIEL:1882|PIH:21137,Blood transfusion,PIH:Transfusion construct
Urine output,Coded,N/A,radio,No,no,PIH:21114,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
